ID,Resort,Latitude,Longitude,Country,Continent,Price,Season,Highest point,Lowest point,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Longest run,Snow cannons,Surface lifts,Chair lifts,Gondola lifts,Total lifts,Lift capacity,Child friendly,Snowparks,Nightskiing,Summer skiing
16,Treble Cone,-44.6323751,168.8728247,New Zealand,Oceania,68,June - October,1960,1260,4,9,9,22,0,32,2,2,0,4,4520,No,Yes,No,Yes
17,Val Gardena,46.5766427,11.6444217,Italy,Europe,54,December - April,2518,1236,52,105,18,175,10,630,29,41,14,84,121914,Yes,Yes,No,No
18,Gressoney - La-Trinite (Monterosa Ski),45.8597574,7.752615678,Italy,Europe,43,December - April,3275,1212,23,94,15,132,8,655,9,9,12,30,31984,Yes,Yes,No,No
19,Les Gets (Les Portes du Soleil),46.1550977,6.6633312,France,Europe,51,December - April,2466,1000,310,210,60,580,0,1074,89,74,11,174,252280,Yes,Yes,Yes,No
20,Espace San Bernardo – La Rosière/?La Thuile,45.62647605,6.852962415,France,Europe,43,December - April,2641,1176,55,83,22,160,11,0,21,18,1,40,53669,Yes,Yes,No,No
21,The Lecht,57.200996,-3.247204,United Kingdom,Europe,33,December - April,775,637,5,9,4,18,0,0,12,1,0,13,9750,No,Yes,Yes,No
22,Steamboat,35.7540215,-109.8537507,United States,North America,120,November - April,3221,2103,25,95,45,165,4,0,1,14,2,17,32720,Yes,Yes,Yes,No
23,Howelsen Hill-Steamboat Springs,40.4805325,-106.8406049,United States,North America,21,November - April,2175,2040,1,1,0,2,0,0,3,1,0,4,2220,No,No,No,No
24,Les Contamines-?Hauteluce,45.7970821,6.689198693,France,Europe,39,December - April,2437,1164,40,60,20,120,0,0,12,8,4,24,33972,Yes,No,Yes,No
25,Crested Butte,38.8698201,-106.984043,United States,North America,98,November - April,3707,2774,27,69,25,121,0,0,5,10,0,15,19717,Yes,Yes,No,No
26,Jackson Hole,34.641109,-98.67619161,United States,North America,119,December - April,3185,1924,16,50,50,116,11,0,1,9,3,13,20480,Yes,Yes,No,No
27,Park City,40.6460921,-111.4979963,United States,North America,97,November - April,3049,2080,27,152,71,250,4,480,5,32,4,41,76110,Yes,Yes,Yes,No
28,Nevis Range,56.8522081,-4.9987681,United Kingdom,Europe,36,December - April,655,91,7,10,3,20,0,0,8,3,1,12,10350,Yes,No,No,No
29,Arapahoe Basin,40.1211211,-80.6698426,United States,North America,83,October - June,3790,3286,40,25,40,105,4,0,2,5,0,7,7200,Yes,Yes,No,No
30,The Remarkables,-45.0549597,168.8158586,New Zealand,Oceania,74,June - October,1943,1586,3,4,3,10,1,0,3,4,0,7,8400,Yes,Yes,No,Yes
31,Valchiavenna – Madesimo/?Campodolcino,46.4254637,9.389833451,Italy,Europe,39,November - April,1550,1082,13,28,5,46,0,0,1,9,3,13,26060,Yes,Yes,Yes,No
32,La Thuile / La Rosière - Espace San Bernardo,45.7162875,6.9486119,Italy,Europe,43,December - April,2641,1176,55,83,22,160,0,0,21,18,1,40,53669,Yes,Yes,No,No
33,Livigno – Carosello/?Mottolino,46.5200926,10.1289555,Italy,Europe,46,November - May,2798,1816,30,65,20,115,6,0,25,13,6,44,50850,Yes,Yes,Yes,No
34,Madonna di Campiglio-?Pinzolo-?Folga?rida-?Marilleva,46.2269942,10.8270157,Italy,Europe,50,November - April,2504,770,60,68,22,150,5,0,14,34,17,65,102340,Yes,Yes,Yes,No
35,Wagrain (Ski amedé),47.3336293,13.3031532,Austria,Europe,52,November - April,1980,740,30,81,4,115,6,600,22,16,11,49,75398,Yes,Yes,No,No
36,Kaunertal Glacier (Kaunertaler Gletscher),46.8774734,10.7136205,Austria,Europe,43,September - June,3108,2180,14,4,2,20,5,0,6,2,1,9,13200,Yes,No,No,No
37,Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),47.392906,12.636085,Austria,Europe,53,November - April,2096,830,140,112,18,270,7,927,21,22,28,71,135104,Yes,Yes,Yes,No
38,Sestriere ski resort (Via Lattea),44.954538,6.880658,Italy,Europe,48,November - April,2749,1372,96,220,84,400,7,0,29,35,7,71,96433,Yes,No,Yes,No
39,Reither Kogel-Reith im Alpbachtal,47.4005419,11.8601176,Austria,Europe,46,December - March,1280,670,1,3,0,4,0,0,4,0,1,5,4070,Yes,No,Yes,No
40,Kicking Horse - Golden,51.2937094,-116.9624651,Canada,North America,67,December - April,2450,1190,20,20,60,100,10,10,1,3,1,5,5250,Yes,No,No,No
41,Grandvalira – Pas de la Casa/?Grau Roig/?Soldeu/?El Tarter/?Canillo/?Encamp,42.54115005,1.733382094,Andorra,Europe,47,November - April,2640,1710,100,77,33,210,6,1032,37,28,7,72,99017,Yes,Yes,Yes,No
42,Rinerhorn (Davos Klosters),46.74122595,9.798008893,Switzerland,Europe,48,December - March,2490,1454,10,22,8,40,7,14,6,0,1,7,6900,Yes,Yes,No,No
43,Madrisa (Davos Klosters),46.9097225,9.877450678,Switzerland,Europe,52,December - March,2611,1142,6,9,9,24,8,9,7,2,1,10,6640,Yes,Yes,No,No
44,Jakobshorn (Davos Klosters),46.772399,9.8493406,Switzerland,Europe,58,December - April,2590,1540,25,13,2,40,6,140,5,5,3,13,15800,Yes,Yes,No,No
45,Glacier 3000 / Les Diablerets,46.3511021,7.1566435,Switzerland,Europe,54,October - May,3016,1343,9,3,12,24,8,0,4,3,3,10,10260,Yes,Yes,No,No
46,Big White,49.715991,-118.933872,Canada,North America,61,November - April,2285,1508,18,56,29,103,7,0,3,10,1,14,22625,Yes,Yes,Yes,No
47,Obergurgl-Hochgurgl,46.879426,11.0387065,Austria,Europe,50,November - May,3082,1793,35,55,20,110,8,320,13,7,8,28,38861,Yes,Yes,Yes,No
48,Coronet Peak,-44.9158907,168.7395712,New Zealand,Oceania,74,June - October,1649,1229,8,16,16,40,0,202,5,3,0,8,7200,Yes,Yes,Yes,Yes
49,Les Deux alpes,45.0099949,6.1237609,France,Europe,49,"December - April, June - August, October - November",3560,1280,110,56,34,200,16,224,26,21,7,54,72334,Yes,Yes,Yes,Yes
50,Valle Nevado,-33.352964,-70.2486776,Chile,South America,64,June - October,3670,2860,4,14,21,39,4,0,9,5,1,15,15930,Yes,Yes,No,Yes
51,Ben Lomond,-30.0237148,151.6591787,Australia,Oceania,47,July - September,1572,1460,2,3,1,6,0,0,0,7,0,7,0,Yes,No,No,Yes
52,Portillo,-32.8364183,-70.1290835,Chile,South America,57,June - October,3310,2580,10,4,6,20,3,0,9,5,0,14,9900,Yes,No,No,Yes
53,Catedral Alta Patagonia,-41.16556,-71.444171,Argentina,South America,51,June - October,2180,1030,30,60,30,120,9,0,19,17,2,38,35130,Yes,Yes,No,Yes
54,Whistler,50.1171903,-122.9543022,Canada,North America,93,"November - May, June - August",2284,653,40,110,50,200,11,300,14,18,5,37,59203,Yes,Yes,No,Yes
55,Stubai Glacier,46.995462,11.14049,Austria,Europe,46,September - June,3212,1697,19,15,4,38,10,69,14,7,5,26,39784,Yes,Yes,No,No
56,Fonna Glacier,60.2168823,6.435787158,Norway,Europe,42,May - September,1460,1200,2,2,0,4,0,0,1,0,0,1,1200,Yes,Yes,No,Yes
57,Tignes - ?Val d'Ise?re,45.4580331,6.918835739,France,Europe,56,"November - May, June - August",3456,1550,170,78,52,300,6,848,33,42,11,86,145461,Yes,Yes,No,Yes
58,La Plagne (Paradiski),45.50429855,6.704912253,France,Europe,50,December - April,3167,1207,139,59,27,225,6,417,56,32,12,100,136733,Yes,Yes,No,No
59,Les Orres,44.5140024,6.5510313,France,Europe,35,December - April,2720,1550,30,60,10,100,0,190,11,9,0,20,21020,Yes,Yes,No,No
60,Espace Diamant-Les Saisies/?Notre-Dame-de-Bellecombe/?Praz sur Arly/?Flumet/?Crest-Voland,45.78908,6.554098,France,Europe,40,December - April,2069,1000,132,49,11,192,7,472,53,30,0,83,90852,Yes,Yes,Yes,No
61,Avoriaz (Les Portes du Soleil),46.1925439,6.7702857,France,Europe,51,December - April,2466,1000,310,210,60,580,0,1074,89,74,11,174,252280,Yes,Yes,Yes,No
62,Cha?tel (Les Portes du Soleil),46.255039,6.843619,France,Europe,51,December - April,2466,1000,310,210,60,580,0,1074,89,74,11,174,252280,Yes,Yes,Yes,No
63,Le Lys - Cauterets,42.8823131,-0.1553793,France,Europe,37,November - April,1360,932,21,12,3,36,0,0,6,4,1,11,13038,Yes,Yes,No,No
64,Pont d'Espagne - Cauterets,42.8510114,-0.1399209,France,Europe,35,November - April,1756,1516,3,1,0,4,0,0,2,1,1,4,4150,Yes,No,No,No
65,La Grave - La Meije,45.0454525,6.3067223,France,Europe,49,December - April,3534,1470,3,0,0,3,0,0,1,0,2,3,1460,Yes,No,No,No
66,Courchevel (Les 3 Valle?es),45.4140984,6.6349892,France,Europe,61,November - May,3230,1110,312,216,72,600,12,2383,62,63,40,165,250860,Yes,Yes,Yes,No
67,Saint Martin de Belleville (Les 3 Valle?es),45.3503871,6.500076137,France,Europe,61,November - May,3230,1110,312,216,72,600,0,2383,62,63,40,165,250860,Yes,Yes,Yes,No
68,Alpe d'Huez,45.092401,6.0699443,France,Europe,51,December - April,3330,1125,70,130,50,250,16,963,27,21,20,68,92097,Yes,Yes,Yes,No
69,La Tania-Val Thorens/?Les Menuires/?Me?ribel (Les 3 Valle?es),45.432169,6.5963993,France,Europe,61,November - May,3230,1110,312,216,72,600,0,2383,62,63,40,165,250860,Yes,Yes,Yes,No
70,Sainte-Foy-Tarentaise,45.590355,6.8849094,France,Europe,31,December - April,2620,1550,10,25,6,41,0,10,2,4,0,6,7100,Yes,No,No,No
71,Les Arcs /? Peisey-Vallandry (Paradiski),43.4629097,6.4786269,France,Europe,50,December - April,3226,1200,104,70,26,200,7,793,17,27,8,52,82641,Yes,Yes,Yes,No
72,Montgene?vre (Via Lattea),44.929277,6.729726,France,Europe,48,November - April,2749,1372,96,220,84,400,0,0,29,35,7,71,96433,Yes,No,Yes,No
73,Bonneval sur Arc,45.3716864,7.0467945,France,Europe,28,December - April,3000,1850,13,11,1,25,0,0,8,3,0,11,8213,Yes,No,No,No
74,Val Thorens (Les 3 Valle?es),45.2979109,6.5822693,France,Europe,61,November - May,3230,1110,312,216,72,600,0,2383,62,63,40,165,250860,Yes,Yes,Yes,No
75,Serre Chevalier-Brianc?on/?Chantemerle/?Villeneuve-la-Salle/?Le Mone?tier-les-Bains,44.9107381,6.5500282,France,Europe,49,December - April,2800,1200,138,80,32,250,9,575,33,21,7,61,72066,Yes,Yes,Yes,No
76,Kleine Scheidegg / ?Ma?nnlichen-Grindelwald / ?Wengen,46.5850987,7.9608968,Switzerland,Europe,55,November - April,2320,944,33,56,13,102,13,0,10,10,6,26,29250,Yes,No,No,No
77,Balme-?Les Autannes-Vallorcine-?Le Tour,46.2856827,4.7804099,France,Europe,51,December - April,2270,1453,13,16,0,29,0,0,8,2,2,12,14860,Yes,Yes,No,No
78,Grands Montets-Argentie?re (Chamonix),45.9777193,6.9238925,France,Europe,62,December - May,3275,1252,6,9,14,29,6,0,1,4,4,9,15756,Yes,Yes,No,No
79,Winter Park Resort,39.87161425,-105.7827088,United States,North America,119,November - April,3676,2743,11,53,79,143,7,36,5,19,1,25,41130,Yes,Yes,No,No
80,Arcali?s-Ordino (Vallnord),42.6271621,1.491260579,Andorra,Europe,37,November - April,2625,1940,13,14,3,30,5,106,10,4,1,15,14240,Yes,Yes,No,No
81,Ruka,66.1702656,29.1311291,Finland,Europe,43,October - June,492,291,9,7,2,18,1,70,17,5,0,22,22915,Yes,Yes,Yes,No
82,Levi,67.7844055,24.8557289,Finland,Europe,43,November - May,531,206,15,19,2,36,2,267,25,2,2,29,30110,Yes,Yes,Yes,No
83,Niseko,42.804684,140.6873034,Japan,Asia,57,November - May,1200,300,20,16,8,44,0,0,1,26,5,32,42400,Yes,Yes,Yes,No
84,Kranjska Gora,46.485132,13.7843957,Slovenia,Europe,33,December - April,1215,800,10,8,2,20,2,0,15,5,0,20,17774,Yes,Yes,Yes,No
85,El Tarter – Pas de la Casa/?Grau Roig/?Soldeu/?Canillo/?Encamp (Grandvalira),42.5803334,1.6496963,Andorra,Europe,47,November - April,2640,1710,100,77,33,210,0,1032,37,28,7,72,99017,Yes,Yes,Yes,No
86,Bansko,41.8344086,23.4841698,Bulgaria,Europe,30,December - April,2560,990,20,24,3,47,16,380,7,8,2,17,24233,Yes,Yes,Yes,No
87,Alta,42.6736893,-95.3039943,United States,North America,82,November - April,3215,2600,29,46,40,115,4,0,3,7,0,10,13100,Yes,No,Yes,No
88,Aspen Mountain,39.1760986,-106.8292058,United States,North America,124,November - April,3418,2422,0,49,54,103,4,0,0,7,1,8,13400,Yes,No,No,No
89,Aspen Highlands,61.103269,-149.7406566,United States,North America,124,December - April,3559,2451,24,40,70,134,5,0,0,5,0,5,7085,Yes,No,No,No
90,Squaw Valley,36.7402261,-119.246785,United States,North America,102,November - April,2760,1890,25,45,30,100,5,0,6,21,2,29,42932,Yes,Yes,Yes,No
91,Vail,39.6440207,-106.3801669,United States,North America,127,November - April,3433,2457,57,84,93,234,6,0,9,20,2,31,54858,Yes,Yes,No,No
92,Kitzsteinhorn - Kaprun,47.1880444,12.6874982,Austria,Europe,50,July,3029,1978,13,25,3,41,5,105,5,5,7,17,33598,Yes,Yes,No,Yes
93,Snowbasin,41.216317,-111.857428,United States,North America,85,November - April,2850,1950,5,28,15,48,5,400,2,6,3,11,17026,Yes,Yes,No,No
94,Beaver Creek,39.6048786,-106.5150017,United States,North America,141,November - April,3488,2255,28,64,57,149,4,0,8,13,3,24,38200,Yes,Yes,No,No
95,Glencoe Mountain,56.68154175,-5.10644312,United Kingdom,Europe,35,December - April,1070,360,7,10,7,24,0,0,6,2,0,8,5800,Yes,No,No,No
96,Sölden,46.9673961,11.0070193,Austria,Europe,53,September - May,3340,1350,70,44,29,143,15,363,12,16,8,36,70370,Yes,Yes,Yes,No
97,Kuühtai,47.212049,11.017326,Austria,Europe,37,November - April,2520,1938,6,26,8,40,4,80,6,5,1,12,17254,Yes,Yes,Yes,No
98,Breckenridge,32.7558392,-98.9032554,United States,North America,140,November - April,3914,2926,28,60,65,153,5,0,15,18,1,34,43880,Yes,Yes,No,No
99,Obertauern,47.2494362,13.5569603,Austria,Europe,46,November - May,2313,1630,61,35,4,100,5,280,11,18,2,31,50797,Yes,Yes,Yes,No
100,Elfer Neustift,47.1064691,11.3079828,Austria,Europe,29,December - March,2080,981,0,7,0,7,5,0,3,0,1,4,2980,Yes,No,No,No
101,Serfaus-Fiss-Ladis,47.0530324,10.61913705,Austria,Europe,49,December - April,2820,1200,47,123,28,198,10,1250,40,16,12,68,78460,Yes,Yes,Yes,No
102,Hochko?nig-Maria Alm/?Dienten/?Mu?hlbach,47.38650655,12.95641323,Austria,Europe,52,December - April,1900,800,52,41,19,112,9,520,21,9,5,35,49232,Yes,Yes,Yes,No
103,Mayrhofen-Penken/?Ahorn/?Rastkogel/?Eggalm,47.1672188,11.8638664,Austria,Europe,52,December - April,2500,630,40,66,30,136,10,286,31,17,9,57,82432,Yes,Yes,No,No
104,St. Anton (Ski Arlberg),47.18265425,10.14043361,Austria,Europe,53,December - April,2811,1270,130,123,51,304,10,747,53,45,15,113,145127,Yes,Yes,No,No
105,Axamer Lizum,47.1943801,11.3030187,Austria,Europe,38,November - April,2340,1580,7,21,2,30,3,0,3,6,1,10,13322,Yes,Yes,No,No
106,Flachau (Ski amedé),47.3438501,13.3922888,Austria,Europe,52,November - April,1980,740,30,81,4,115,0,600,22,16,11,49,75398,Yes,Yes,No,No
107,Ski Juwel Alpbachtal Wildscho?nau,47.395203,11.92651,Austria,Europe,46,December - April,2025,830,25,53,13,91,7,294,32,7,8,47,52789,Yes,Yes,Yes,No
108,Ischgl,46.9862824,10.27451769,Austria,Europe,52,November - May,2872,1377,47,142,49,238,11,1200,13,25,7,45,88215,Yes,Yes,No,No
109,Bad Gastein,47.1144954,13.1352653,Austria,Europe,52,November - April,2300,860,30,52,2,84,10,800,10,9,7,26,32699,Yes,Yes,No,No
110,Gargellen,46.9721035,9.9187223,Austria,Europe,47,December - April,2300,1423,20,5,2,27,6,83,5,3,1,9,10650,Yes,Yes,No,No
111,Lech (Ski Arlberg),47.18265425,10.14043361,Austria,Europe,53,December - April,2811,1270,130,123,51,304,6,747,53,45,15,113,145127,Yes,Yes,No,No
112,Kitzbühel / Kirchberg (KitzSki),47.4463585,12.3911473,Austria,Europe,55,October - April,2000,800,101,61,17,179,8,1102,15,28,11,54,92510,Yes,Yes,Yes,No
113,Galtu?r,46.9194554,10.17059035,Austria,Europe,40,December - April,2300,1600,6,25,12,43,4,133,9,2,2,13,15442,Yes,Yes,Yes,No
114,Fieberbrunn - Saalbach Hinterglemm Leogang (Skicircus),47.45518755,12.54442426,Austria,Europe,53,November - April,2096,830,140,112,18,270,0,927,21,22,28,71,135104,Yes,Yes,Yes,No
115,Schladming (4-Berge-Skischauke),47.3940415,13.6867878,Austria,Europe,52,April,2015,745,46,68,8,122,4,600,16,20,10,46,71842,Yes,Yes,Yes,No
116,Ellmau (SkiWelt Wilder Kaiser-Brixental),47.51927245,12.29224775,Austria,Europe,49,December - April,1957,620,122,129,33,284,7,1700,54,35,16,105,147250,Yes,Yes,Yes,No
117,Zauchensee,47.2933062,13.4568962,Austria,Europe,52,April,2188,1000,23,16,4,43,6,113,9,6,4,19,25988,Yes,Yes,No,No
118,Westendorf (SkiWelt Wilder Kaiser-Brixental),47.3831879,12.22174856,Austria,Europe,49,December - April,1957,620,122,129,33,284,0,1700,54,35,16,105,147250,Yes,Yes,Yes,No
119,Silvretta Montafon,47.03503335,9.976778589,Austria,Europe,53,November - April,2430,700,60,45,8,113,12,330,25,18,10,53,67472,Yes,Yes,No,No
120,Zürs (Ski Arlberg),47.194717,10.160198,Austria,Europe,53,December - April,2811,1270,130,123,51,304,0,747,53,45,15,113,145127,Yes,Yes,No,No
121,Söll (SkiWelt Wilder Kaiser-Brixental),47.503178,12.190132,Austria,Europe,49,December - April,1957,620,122,129,33,284,0,1700,54,35,16,105,147250,Yes,Yes,Yes,No
122,St. Johann in Tirol,47.5224141,12.4286809,Austria,Europe,44,December - April,1604,659,16,23,3,42,8,260,12,4,4,20,21100,Yes,No,Yes,No
123,St. Christoph (Ski Arlberg),47.022264,15.4708255,Austria,Europe,53,December - April,2811,1270,130,123,51,304,0,747,53,45,15,113,145127,Yes,Yes,No,No
124,Courmayeur / Che?crouit -? Val Veny,45.7874248,6.9730618,Italy,Europe,46,Unknown,2755,1205,16,21,4,41,0,280,4,8,6,18,24497,Yes,Yes,No,No
125,Sierra Nevada-Pradollano,37.0957512,-3.387885004,Spain,Europe,47,November - May,3282,2100,50,49,7,106,0,350,5,14,2,21,59205,Yes,Yes,Yes,No
126,Cortina d'Ampezzo,46.5383332,12.1373506,Italy,Europe,52,November - April,2924,1224,45,55,20,120,11,130,8,26,6,40,48089,Yes,Yes,No,No
127,Val Senales Glacier,46.7699617,10.7974224,Italy,Europe,44,October - May,3212,2011,8,7,11,26,8,0,6,6,2,14,15838,Yes,Yes,No,No
128,Saas-Fee,46.107342,7.9247055,Switzerland,Europe,63,July - April,3573,1800,20,60,20,100,14,102,14,2,9,25,25160,Yes,Yes,No,Yes
129,Champoluc (Monterosa Ski),45.8366951,7.731371649,Italy,Europe,43,December - April,3275,1212,23,94,15,132,0,655,9,9,12,30,31984,Yes,Yes,No,No
130,Kronplatz (Plan de Corones),46.7387791,11.9583111,Italy,Europe,54,November - April,2275,973,52,42,25,119,7,450,6,5,21,32,71205,Yes,Yes,Yes,No
131,Formigal,42.7741349,-0.3608611,Spain,Europe,44,November - April,2251,1501,47,70,20,137,6,440,9,11,0,20,29450,Yes,Yes,No,No
132,Baqueira / ?Beret,42.6988865,0.9347175,Spain,Europe,50,December - April,2510,1471,79,52,19,150,5,629,14,19,2,35,53997,Yes,Yes,No,No
133,Sauze d’Oulx (Via Lattea),45.0259571,6.8602827,Italy,Europe,48,November - April,2749,1372,96,220,84,400,0,0,29,35,7,71,96433,Yes,No,Yes,No
134,Cervinia,45.96300885,7.715412186,Switzerland,Europe,81,Year-round,3899,1562,75,220,27,322,0,1060,21,22,20,63,93464,Yes,Yes,No,Yes
135,Wasserngrat (Gstaad),46.4643909,7.3169684,Switzerland,Europe,54,December - March,1900,1275,3,3,2,8,0,0,0,1,0,1,900,Yes,No,No,No
136,Wispile (Gstaad),46.4518335,7.296177853,Switzerland,Europe,54,December - March,1941,1046,3,3,1,7,0,0,3,0,2,5,3601,Yes,No,Yes,No
137,Crans-Montana,46.3304899,7.526435804,Switzerland,Europe,60,November - April,1510,540,55,70,15,140,12,0,12,6,5,23,29500,Yes,Yes,No,No
138,Brunni - Engelberg,46.84087305,8.410638259,Switzerland,Europe,38,December - April,2040,1050,2,3,2,7,0,0,3,1,1,5,2577,Yes,No,No,No
139,Arosa Lenzerheide,46.7548885,9.566024408,Switzerland,Europe,63,October - April,2865,1229,111,87,27,225,4,0,24,18,8,50,63936,Yes,Yes,Yes,No
140,Verbier (4 Valle?es),46.1003545,7.276506393,Switzerland,Europe,66,December - April,3330,821,107,202,103,412,8,0,39,17,19,75,85022,Yes,Yes,Yes,No
141,St. Moritz - Corviglia,46.5079945,9.818959,Switzerland,Europe,69,November - April,3057,1720,42,79,34,155,6,170,11,12,5,28,31220,Yes,Yes,No,No
142,Gresse en Vercors,44.9011374,5.5662216,France,Europe,19,December - March,1751,1245,8,7,5,20,0,51,10,1,0,11,6808,Yes,Yes,No,No
143,Nendaz (4 Valle?es),46.1003545,7.276506393,Switzerland,Europe,66,December - April,3330,821,107,202,103,412,8,0,39,17,19,75,85022,Yes,Yes,Yes,No
144,Villars -? Gryon / Les Diablerets,46.3289335,7.1096087,Switzerland,Europe,54,December - April,2120,1224,51,45,4,100,0,0,20,9,4,33,38905,Yes,Yes,No,No
145,Thyon (4 Valle?es),46.1003545,7.276506393,Switzerland,Europe,66,December - April,3330,821,107,202,103,412,8,0,39,17,19,75,85022,Yes,Yes,Yes,No
146,Veysonnaz (4 Valle?es),46.1003545,7.276506393,Switzerland,Europe,66,December - April,3330,821,107,202,103,412,8,0,39,17,19,75,85022,Yes,Yes,Yes,No
147,Buchenberg-Buching-Halblech-,47.606423,10.8106751,Germany,Europe,25,December - March,1140,810,2,4,0,6,0,0,2,1,0,3,2800,Yes,No,No,No
148,Alpendorf (Ski amedé),47.3225067,13.1954241,Austria,Europe,52,November - April,1980,740,30,81,4,115,0,600,22,16,11,49,75398,Yes,Yes,No,No
149,Me?ribel (Les 3 Valle?es),45.39139,6.574283,France,Europe,61,November - May,3230,1110,312,216,72,600,0,2383,62,63,40,165,250860,Yes,Yes,Yes,No
150,?Les Menuires (Les 3 Valle?es),45.322108,6.537697,France,Europe,61,November - May,3230,1110,312,216,72,600,0,2383,62,63,40,165,250860,Yes,Yes,Yes,No
151,Les Sybelles-Le Corbier-?La Toussuire-?Les Bottie?res-?St Colomban des Villards-?St Sorlin-?St Jean d’Arves,45.25492475,6.248865708,France,Europe,44,December - April,2620,1100,53,239,18,310,7,514,44,28,0,72,83807,Yes,Yes,Yes,No
152,Le Grand Massif-Flaine-?Les Carroz-?Morillon-?Samoe?ns-?Sixt,46.0298218,6.695615648,France,Europe,47,December - April,2476,694,135,95,35,265,14,1100,34,29,9,72,97624,Yes,Yes,No,No
153,Mege?ve-?Saint-Gervais,45.845128,6.685666167,France,Europe,46,December - April,2353,850,98,134,31,263,5,888,50,27,9,86,106362,Yes,Yes,Yes,No
154,Big Sky Resort,45.2839783,-111.401115,United States,North America,110,November - April,3398,2072,55,69,126,250,9,0,11,22,1,34,36283,Yes,Yes,No,No
155,Snowmass,39.3316513,-106.986156,United States,North America,124,November - April,3813,2473,14,111,111,236,8,0,6,13,2,21,27765,Yes,Yes,Yes,No
156,Soldeu-Pas de la Casa/?Grau Roig/?El Tarter/?Canillo/?Encamp (Grandvalira),42.5768944,1.6682694,Andorra,Europe,47,November - April,2640,1710,100,77,33,210,0,1032,37,28,7,72,99017,Yes,Yes,Yes,No
157,Laax-?Flims-?Falera,46.849618,9.217180661,Switzerland,Europe,68,October - April,3018,1100,88,81,19,188,14,300,13,9,11,33,46116,Yes,Yes,No,No
158,Vars-?Risoul-La Fore?t Blanche,47.5343201,5.5342065,France,Europe,39,December - April,2750,1650,75,90,20,185,0,0,32,17,2,51,50145,Yes,Yes,Yes,No
159,Le Grand Domaine-Valmorel-?Doucy-?Celliers-?St Franc?ois Longchamp,48.618833,-2.2673293,France,Europe,44,December - April,2550,1250,115,35,15,165,0,332,36,17,3,56,60248,Yes,Yes,No,No
160,Galibier Thabor-Valmeinier-?Valloire,45.1604887,6.464502618,France,Europe,39,December - April,2594,1430,75,60,15,150,0,400,12,17,2,31,43300,Yes,Yes,Yes,No
161,Zillertal Arena-Zell am Ziller-?Gerlos-?Ko?nigsleiten-?Hochkrimml,47.24372605,12.03918599,Austria,Europe,52,December - April,2500,580,43,89,11,143,10,792,22,21,13,56,89415,Yes,Yes,No,No
